Number of Randoms,Number of Threads,philox_simd (global) [best avg (s)],philox_simd (global) [worst avg (s)],philox (thread local) [best avg (s)],philox (thread local) [worst avg (s)],at::mt19937 [best avg (s)],at::mt19937 [worst avg (s)],philox_simd (thread local) [best avg (s)],philox_simd (thread local) [worst avg (s)],xoshiro256** [best avg (s)],xoshiro256** [worst avg (s)],pcg64 [best avg (s)],pcg64 [worst avg (s)],std::mt19937 [best avg (s)],std::mt19937 [worst avg (s)],philox (global) [best avg (s)],philox (global) [worst avg (s)]
8,1,0.000000179000,0.000000383000,0.000000135000,0.000000296000,0.000000192000,0.000001227000,0.000000135000,0.000000464000,0.000000158000,0.000000251000,0.000000181000,0.000000256000,0.000000237000,0.000001577000,0.000000151000,0.000000274000
64,1,0.000000201000,0.000000285000,0.000000294000,0.000000379000,0.000000361000,0.000000805000,0.000000163000,0.000000269000,0.000000420000,0.000000477000,0.000000483000,0.000000498000,0.000000872000,0.000001593000,0.000000311000,0.000000393000
512,1,0.000000789000,0.000000880000,0.000001746000,0.000001814000,0.000001892000,0.000002161000,0.000000795000,0.000001124000,0.000002601000,0.000002671000,0.000002629000,0.000002683000,0.000006472000,0.000006724000,0.000001789000,0.000001878000
4096,1,0.000005500000,0.000007513000,0.000013423000,0.000013497000,0.000012213000,0.000012737000,0.000005833000,0.000005911000,0.000019780000,0.000020424000,0.000019884000,0.000020427000,0.000049285000,0.000050248000,0.000013504000,0.000013614000
32768,1,0.000043750000,0.000046701000,0.000106875000,0.000111473000,0.000097040000,0.000097661000,0.000045862000,0.000049553000,0.000160005000,0.000162889000,0.000160816000,0.000168929000,0.000392549000,0.000398875000,0.000107019000,0.000111363000
262144,1,0.000347350000,0.000402615000,0.000854407000,0.000866246000,0.000772477000,0.000784055000,0.000367081000,0.000482828000,0.001259442000,0.001263816000,0.001285420000,0.001381667000,0.003143729000,0.003166542000,0.000854681000,0.001257908000
2097152,1,0.002752396000,0.002774466000,0.006840671000,0.006852673000,0.006202682000,0.006278172000,0.002935864000,0.002941372000,0.010117036000,0.011474209000,0.010250941000,0.010649497000,0.025110084000,0.026057732000,0.006851527000,0.008661828000
16777216,1,0.022065325000,0.026942135000,0.054730485000,0.055659659000,0.049553051000,0.052217768000,0.023502832000,0.024192586000,0.081269261000,0.081410593000,0.082317633000,0.082472866000,0.203253701000,0.204986774000,0.054739301000,0.056537939000
134217728,1,0.176095927000,0.176911281000,0.437708913000,0.438919134000,0.396438910000,0.401955532000,0.187812426000,0.187872982000,0.650071339000,0.651981166000,0.658505600000,0.658687478000,1.606628998000,1.611454492000,0.437712598000,0.437856306000
1073741824,1,1.411941912000,1.425610955000,3.504652608000,3.512524517000,3.183034951000,3.188118738000,1.502865961000,1.504605967000,5.202028430000,5.218110432000,5.272910418000,5.292659919000,12.858803772000,12.869437361000,3.509917530000,3.514511986000
8589934592,1,11.274546966000,11.394971162000,28.037402164000,28.109839537000,25.385445611000,25.441029303000,12.032944336000,12.151825921000,41.594536789000,41.662277109000,42.151491457000,42.173823709000,102.918679341000,103.529452940000,28.036939679000,28.078004158000
